user,pro bjp ratio,pro congress ratio,anti bjp ratio,anti congress ratio,percent of hashtags used,number of annotated hashtags,not neutral,total hashtags
981420994983268353,0.9344262295081968,0.0,0.0,0.04918032786885246,0.5882352941176471,60,101,173
867790613298659328,0.9375,0.0,0.0,0.03125,0.3229166666666667,31,95,193
1066739343069507584,0.9411764705882353,0.0,0.0,0.029411764705882353,0.5409836065573771,33,60,110
75216041,0.5,0.0,0.375,0.0,0.011532125205930808,7,606,1158
776007473975230464,0.9428571428571428,0.0,0.0,0.05,0.5864978902953587,139,236,377
3847197868,0.0,0.0,0.8,0.0,0.14814814814814814,4,26,55
976187227,0.9714285714285714,0.0,0.0,0.0,0.2809917355371901,34,120,239
151075016,0.7857142857142857,0.0,0.0,0.14285714285714285,0.29545454545454547,13,43,149
46060722,0.6470588235294118,0.0,0.29411764705882354,0.0,0.09580838323353294,16,166,365
433509555,0.21428571428571427,0.0,0.7142857142857143,0.0,0.24074074074074073,13,53,123
932512323914178560,0.9523809523809523,0.0,0.0,0.0,0.425531914893617,20,46,69
3236458596,0.9767441860465116,0.0,0.0,0.0,0.32061068702290074,42,130,213
749281756625395712,0.42857142857142855,0.0,0.42857142857142855,0.0,0.1111111111111111,6,53,133
865039893591982080,0.8727272727272727,0.0,0.0,0.10909090909090909,0.35294117647058826,54,152,333
1093431608739287041,0.9873417721518988,0.0,0.0,0.0,0.6190476190476191,78,125,192
2186187964,0.3333333333333333,0.0,0.3333333333333333,0.0,0.03225806451612903,2,61,108
4632270014,0.0,0.0,0.5,0.0,0.029411764705882353,1,33,82
2219701441,0.05454545454545454,0.0,0.9272727272727272,0.0,0.07906295754026355,54,682,1618
982690590600105986,0.16666666666666666,0.0,0.6666666666666666,0.0,0.12195121951219512,5,40,82
607789849,0.21428571428571427,0.0,0.7142857142857143,0.0,0.0896551724137931,13,144,357
38223437,0.7083333333333334,0.0,0.0,0.25,0.1885245901639344,23,121,334
249098353,0.8888888888888888,0.0,0.0,0.07407407407407407,0.4642857142857143,26,55,119
1081503692451270656,0.3333333333333333,0.0,0.0,0.5,0.5555555555555556,5,8,12
405484748,0.8888888888888888,0.0,0.0,0.05555555555555555,0.5,17,33,50
1092609815249969153,0.5,0.0,0.25,0.0,0.25,3,11,29
136197326,0.14285714285714285,0.0,0.7857142857142857,0.0,0.25,13,51,102
905492759322140672,0.9397590361445783,0.0,0.0,0.04819277108433735,0.6612903225806451,82,123,182
905770196,0.0,0.0,0.0,0.0,0.0,0,19,93
927883994682703872,0.2,0.0,0.6,0.0,0.04878048780487805,4,81,149
883642814050951168,0.125,0.0,0.75,0.0,0.05982905982905983,7,116,246
257316058,0.6666666666666666,0.0,0.0,0.16666666666666666,0.20833333333333334,5,23,49
412010703,0.2727272727272727,0.0,0.6363636363636364,0.0,0.19230769230769232,10,51,96
2893681884,0.3333333333333333,0.0,0.3333333333333333,0.0,0.09523809523809523,2,20,73
395875549,0.0,0.0,0.0,0.5,0.08333333333333333,1,11,34
805493955500580865,0.4,0.0,0.5,0.0,0.13846153846153847,9,64,149
1129212526783270915,0.5,0.0,0.25,0.0,0.13636363636363635,3,21,77
142996707,0.8469387755102041,0.0,0.0,0.14285714285714285,0.5843373493975904,97,165,350
448744998,0.7843137254901961,0.0,0.058823529411764705,0.13725490196078433,0.423728813559322,50,117,209
2291078376,0.9633699633699634,0.0,0.0,0.03296703296703297,0.5027726432532348,272,540,968
164984041,0.5,0.0,0.0,0.0,0.1,1,9,32
1964119274,0.9387755102040817,0.0,0.0,0.05102040816326531,0.5105263157894737,97,189,303
988091527296528384,0.0,0.0,0.5,0.0,0.125,1,7,13
719563896583888896,0.42857142857142855,0.0,0.42857142857142855,0.0,0.05825242718446602,6,102,238
829224174,0.0,0.0,0.0,0.0,0.0,0,25,37
281309797,0.8014184397163121,0.0,0.028368794326241134,0.16312056737588654,0.3131991051454139,140,446,919
3712054514,0.9733333333333334,0.0,0.0,0.02,0.5708812260536399,149,260,414
961296247653990400,0.9385665529010239,0.0,0.008532423208191127,0.051194539249146756,0.4978723404255319,585,1174,1524
512893822,0.2972972972972973,0.0,0.6756756756756757,0.0,0.048846675712347354,36,736,1364
