,user_id,screen_name
180,2382134646,Vaakpathi
181,794615787319390208,Big_harry2
182,902791544486297600,SouravPratap3
183,1104954412206714880,VinayPa44323998
184,1898851668,Bhartiyanagrika
185,274400189,INCdilse
186,118337616,PRAMODJAMES
187,980321930,shailendra8273
188,1106112392319000576,YangerLongkume2
189,887275259640123396,DaharwalK
190,4824877754,Susil_100
191,94979487,pickooo
192,710704451888291841,DEEPAK251289
193,280985386,the_hyderabadi
194,867972649,ImModified
195,187638674,Rahul_saffron
196,1062278047,iamdipal
197,2973403653,SaritaSapphire
198,902251607114559489,LoveYouIndia2
199,875360825023713280,Sk08797
200,408509087,busyintweeting
201,3320154349,OmmVarma
202,917223866304421889,Yaduvanshi021
203,231784818,jeet896
204,861495623203160064,kabirazad2017
205,2574996000,miks1302
206,4754156759,AmarP_IND
207,949276177981583360,BHAVANMODI94
208,325640155,UshaDravid
209,58186912,radhaiyer
210,3489525374,HemangBhojani
211,887754605152657408,MdShahi09675407
212,1215689214,sonijkn2
213,861551927187783681,AlhawatSantosh
214,3748455619,mishraji_manoj
215,896822803,Shawarma2014
216,454573068,krishnakant359
217,751848920280596480,Rajendr76194898
218,694936162650075136,kajimrazasbhur1
219,4258245558,avinash_mailme
220,1098185828046651393,Santosh65851237
221,614608679,RP_Vinothh
222,171880832,mataonline
223,2253674466,kapoor_adeesh
224,932964468287348737,Luckystrike_007
225,3299535660,vijaysaraf78
226,913667639515348993,SecularSaifi007
227,910370923886374912,JGYRAGHAV
228,1004313957438373888,NAUSHAD76024311
229,1039223723654619137,JustMeSmokingg
230,1721790972,ssak67
231,94755791,Suboadh
232,437228281,RS_295
233,3287280438,optimisticawais
234,3123941134,babun1515
235,139737576,girishglg
236,1048995705732231168,Veerabaala
237,1063649608235069440,VineyBehari
238,915229859885998081,Externall_Force
239,934816325561606144,KhanZaid__
240,1062702149073698816,KadeerK60356154
241,68608458,anurag876
242,3281500746,sanatni_hindu
243,299288490,JanakJethwa
244,996659739936223232,SarojK304
245,285691405,arif00sheikh
246,723504510,bhavsarhardiik
247,871442384,Sanket80s
248,1058603711524556800,PraveenSingh764
249,755067346998464512,PritSarka
250,1590972060,SuryaMetry
251,2459974320,sheru58
252,229572422,shainGLa
253,1006803027196547073,faizan_barii
254,442896652,targetpedia
255,998987757564252161,moanyavar
256,399897351,Gangsofcampnou
257,984124483429691392,WatchDogIND
258,1317434616,ArshadChishti_
259,39957235,ykjoshi
260,3479699173,sparjaga
261,758729197,hazarikarraj
262,939581963983130624,NilotpalMukher6
263,921802999860568065,SecretAamaadmi
264,712786928,MsChronology
265,865892746526998528,VashisthPrakhar
266,600920719,anshu_mani
267,909413393240436736,Chandan06080513
268,132489800,AAPKA_RK
269,4575759733,GabruOfPunjab
270,195800306,TKprajapati_
271,4454691678,HforHyderabad
272,157918741,devenjohar
273,1569975595,sanghavideepa
274,83202890,ROFL_bihari
275,2819896220,bhushankpatil12
276,372288626,rahulmishrabca
277,160134378,srivastvanurag
278,113598284,dilip_boghani
279,980109465201516544,Gulrezakhter05
280,781407854569881600,i4army
281,1084782946500988930,aajkitajakhabar
282,849344751522500608,phylosophic_
283,2246723426,Anju1951Purohit
284,907703939570663424,LamdaSky
285,4448054086,pradipjaihind
286,990653677,aaadubey1
287,3148409904,Dobriyal66
288,940257310978465792,RaMe11492
289,789088007978483712,TheHind___
290,1613202594,vikas1689
291,800226932948279297,zakykha
292,2344716678,ibb85
293,105547700,WhatAyLovelyDay
294,2929889089,surdeepbaid
295,2227722763,anisaz9_basit
296,894607902668763136,SureshK89551417
297,1073528347525873665,saurabhpawarinc
298,2149357540,ARituraj
299,888946364813635585,Bjpdeepak1
300,876754688,singhrohitvns
301,2441263915,Saurabhkjoshi1
302,976401175997280256,DrSalimAhmed3
303,2872982935,gitamehta65
304,815942184734261250,Rajeevp82286277
305,714625462,shereyaar
306,137217459,VSsingh1611
307,2905374884,InvisibleGuy77
308,1047990986,shobhapande
309,3617373380,SSTHAKUR20
310,1537995715,ghulam439
311,621116580,vkc1000
312,416412239,mahboob9919
313,990671378427891712,GSalitra
314,856074511258669056,godse_avi
315,4888898603,vikramjeet_vick
316,719563896583888896,MDRafiurRahman7
317,149844397,rahulpassi
318,43736008,riyazqureshi
319,400547260,prafupriti
320,1032294473512955904,RWWTLM
321,1037754925269303299,Fasakkkkk
322,197119455,hallagullaboy
323,1029281387105271808,PANIYAZAHMED2
324,888078932,BankiMistry
325,520009144,iShivenRajput
326,75039503,Lohana1983
327,3007950048,AbdulGoa
328,2356698637,PatreceF
329,3824059934,Text_to_Amit
330,820223661525389312,varunsharmaca
331,2586905346,faisallcdc
332,928245694648819712,vishwadeep3034
333,241516907,mishrarocky
334,181437486,dannys640
335,67896667,DaktarBatra
336,1106168249618710528,PREETJO04478948
337,1092316711578226688,IndiaIs65887032
338,1007808431908982784,BasketS10489621
339,1550226854,QaziAsadLucknow
340,895676975137697794,karthick_sk65
341,283095141,beingindianonly
342,1107833392102428673,AshrafA78066015
343,741610777254076416,REALVEER902610
344,748871749421264896,GuptaSatranjan
345,2415024589,Hind_Ka_Vasi
346,2884556716,prembhatt0286
347,941008400720244738,RK_ultapulta
348,915989788414550016,SKTIWARl71
349,1338216625,DixitGhanshyam
350,141531140,TripRR
351,1026487518106013696,AAP_ka_Khushal
352,737632670763491328,Vivek_D_Mundhe
353,158464982,gouravsahu
354,1186637557,darshana213
355,3245695662,MohanKu37166575
356,83763291,Bonnindia
357,128129173,innocentlyloud
358,3255907328,jiwangupta1953
359,955370903537250304,ChandelDhiresh
360,446153143,miemanish
361,3425779220,murthy_sowjanya
